SUBSYSTEM;SIZE;OPEN_IND;X_OFFSET_FROM_PROP_LINE_M;X_OFFSET_DIRECTION;Y_OFFSET_FROM_PROP_LINE_M;Y_OFFSET_DIRECTION;Geom;Geo Local Area;geo_point_2d
Distribution;SMALL;OPEN;2.7;E;0.0;N;"{""coordinates"": [-123.08150186118802, 49.26064966747691], ""type"": ""Point""}";Mount Pleasant;49.26064966747691, -123.08150186118802
Distribution;SMALL;OPEN;2.7;E;0.0;S;"{""coordinates"": [-123.08150462553807, 49.260483874815], ""type"": ""Point""}";Mount Pleasant;49.260483874815, -123.08150462553807
Distribution;SMALL;OPEN;9.4;W;0.0;N;"{""coordinates"": [-123.03704390511975, 49.24129454118357], ""type"": ""Point""}";Renfrew-Collingwood;49.24129454118357, -123.03704390511975
Distribution;SMALL;OPEN;9.4;W;0.0;S;"{""coordinates"": [-123.03716867372759, 49.24116137157162], ""type"": ""Point""}";Renfrew-Collingwood;49.24116137157162, -123.03716867372759
Distribution;SMALL;OPEN;2.2;W;7.3;S;"{""coordinates"": [-123.03667799324201, 49.24160632496313], ""type"": ""Point""}";Renfrew-Collingwood;49.24160632496313, -123.03667799324201
Distribution;SMALL;OPEN;0.0;W;2.1;S;"{""coordinates"": [-123.0384701837378, 49.23451565477866], ""type"": ""Point""}";Renfrew-Collingwood;49.23451565477866, -123.0384701837378
Distribution;SMALL;OPEN;7.9;E;0.0;S;"{""coordinates"": [-123.03881702821442, 49.23281096570024], ""type"": ""Point""}";Killarney;49.23281096570024, -123.03881702821442
Distribution;SMALL;OPEN;0.0;E;6.1;S;"{""coordinates"": [-123.05774178494869, 49.27660697224271], ""type"": ""Point""}";Grandview-Woodland;49.27660697224271, -123.05774178494869
Distribution;SMALL;OPEN;0.0;E;2.1;S;"{""coordinates"": [-123.03985790411615, 49.23506149278564], ""type"": ""Point""}";Renfrew-Collingwood;49.23506149278564, -123.03985790411615
Distribution;SMALL;OPEN;7.6;W;0.0;S;"{""coordinates"": [-123.10308701666193, 49.259242187953554], ""type"": ""Point""}";Mount Pleasant;49.259242187953554, -123.10308701666193
Distribution;SMALL;OPEN;7.6;W;0.0;N;"{""coordinates"": [-123.10307984809374, 49.25942299812136], ""type"": ""Point""}";Mount Pleasant;49.25942299812136, -123.10307984809374
Distribution;SMALL;OPEN;0.0;W;1.5;S;"{""coordinates"": [-123.13271843688642, 49.27426095059512], ""type"": ""Point""}";Downtown;49.27426095059512, -123.13271843688642
Distribution;SMALL;OPEN;5.5;W;0.0;N;"{""coordinates"": [-123.07121517951906, 49.2484717672255], ""type"": ""Point""}";Kensington-Cedar Cottage;49.2484717672255, -123.07121517951906
Distribution;SMALL;OPEN;0.0;E;0.6;S;"{""coordinates"": [-123.03794318223791, 49.2369022592821], ""type"": ""Point""}";Renfrew-Collingwood;49.2369022592821, -123.03794318223791
Distribution;SMALL;OPEN;5.5;E;0.0;N;"{""coordinates"": [-123.03810506144183, 49.23697362825177], ""type"": ""Point""}";Renfrew-Collingwood;49.23697362825177, -123.03810506144183
Distribution;SMALL;OPEN;131.1;W;5.2;S;"{""coordinates"": [-123.07179684771248, 49.25962053227956], ""type"": ""Point""}";Kensington-Cedar Cottage;49.25962053227956, -123.07179684771248
Distribution;SMALL;OPEN;1.5;W;0.0;N;"{""coordinates"": [-123.03695981588601, 49.23290418094211], ""type"": ""Point""}";Killarney;49.23290418094211, -123.03695981588601
Distribution;SMALL;OPEN;0.0;W;5.5;N;"{""coordinates"": [-123.0716783305171, 49.27048085564244], ""type"": ""Point""}";Grandview-Woodland;49.27048085564244, -123.0716783305171
Distribution;SMALL;OPEN;0.0;E;5.5;N;"{""coordinates"": [-123.07140709539063, 49.27047922454591], ""type"": ""Point""}";Grandview-Woodland;49.27047922454591, -123.07140709539063
Distribution;SMALL;OPEN;6.7;W;0.0;S;"{""coordinates"": [-123.18767661758552, 49.26601076233408], ""type"": ""Point""}";West Point Grey;49.26601076233408, -123.18767661758552
Distribution;SMALL;OPEN;6.7;W;0.0;N;"{""coordinates"": [-123.18760193220312, 49.267886860730584], ""type"": ""Point""}";West Point Grey;49.267886860730584, -123.18760193220312
Distribution;SMALL;OPEN;6.7;W;0.0;N;"{""coordinates"": [-123.18763581030714, 49.267030003468875], ""type"": ""Point""}";West Point Grey;49.267030003468875, -123.18763581030714
Distribution;SMALL;OPEN;6.7;W;0.0;S;"{""coordinates"": [-123.18760949406747, 49.26770603585191], ""type"": ""Point""}";West Point Grey;49.26770603585191, -123.18760949406747
Distribution;SMALL;OPEN;5.2;W;0.0;S;"{""coordinates"": [-123.1875189344733, 49.26945721606431], ""type"": ""Point""}";West Point Grey;49.26945721606431, -123.1875189344733
Distribution;SMALL;OPEN;5.2;W;0.0;S;"{""coordinates"": [-123.18755535276048, 49.26854457568452], ""type"": ""Point""}";West Point Grey;49.26854457568452, -123.18755535276048
Distribution;SMALL;OPEN;6.4;W;0.3;N;"{""coordinates"": [-123.02476302977763, 49.23238996940762], ""type"": ""Point""}";Renfrew-Collingwood;49.23238996940762, -123.02476302977763
