DIAMETER_MM;INSTALLATION_DATE;MATERIAL;Geom;geo_point_2d
450;1974-01-01;Ductile Iron;"{""coordinates"": [[-123.11868077646466, 49.28226998945008], [-123.11875040460538, 49.28222380863651]], ""type"": ""LineString""}";49.282246899043294, -123.118715590535
150;1957-01-01;Cast Iron;"{""coordinates"": [[-123.11651210686001, 49.217803138893046], [-123.11651037660029, 49.2178031226477]], ""type"": ""LineString""}";49.21780313077038, -123.11651124173015
150;2003-01-01;Ductile Iron;"{""coordinates"": [[-123.0800436955597, 49.217157298531056], [-123.08004319945945, 49.217181721053706]], ""type"": ""LineString""}";49.217169509792384, -123.08004344750958
150;1965-01-01;Cast Iron;"{""coordinates"": [[-123.0800568571421, 49.21650669691899], [-123.0800436955597, 49.217157298531056]], ""type"": ""LineString""}";49.21683199772503, -123.08005027635089
150;1949-01-01;Cast Iron;"{""coordinates"": [[-123.04581921461102, 49.25900816474406], [-123.04550090366433, 49.259006635420135]], ""type"": ""LineString""}";49.2590074000821, -123.04566005913767
200;1955-01-01;Cast Iron;"{""coordinates"": [[-123.11010339625567, 49.20939622574164], [-123.11009710891331, 49.209532618334805]], ""type"": ""LineString""}";49.209464422038224, -123.11010025258447
200;1965-01-01;Cast Iron;"{""coordinates"": [[-123.11159701200901, 49.20875630655421], [-123.11139766655391, 49.208752684975806]], ""type"": ""LineString""}";49.20875449576501, -123.11149733928147
150;1931-01-01;Cast Iron;"{""coordinates"": [[-123.07576528616069, 49.22813544659477], [-123.07579269558892, 49.22727005751545]], ""type"": ""LineString""}";49.22770275205511, -123.07577899087478
150;1972-01-01;Ductile Iron;"{""coordinates"": [[-123.0939691638669, 49.20795992459374], [-123.0939698437463, 49.207934719230806]], ""type"": ""LineString""}";49.20794732191227, -123.09396950380659
200;1931-01-01;Cast Iron;"{""coordinates"": [[-123.15491982353812, 49.238197394836604], [-123.15492212597889, 49.23813415515321], [-123.15484483552363, 49.23813320633197]], ""type"": ""LineString""}";49.23814812807498, -123.15490035880096
150;;Cast Iron;"{""coordinates"": [[-123.14927863114013, 49.230768625621074], [-123.14928067245188, 49.23067114135452]], ""type"": ""LineString""}";49.230719883487794, -123.14927965179601
300;1966-01-01;Cast Iron;"{""coordinates"": [[-123.14951690887158, 49.230825824160426], [-123.14950227977629, 49.23082557323601]], ""type"": ""LineString""}";49.23082569869822, -123.14950959432393
300;1966-01-01;Cast Iron;"{""coordinates"": [[-123.15635880793742, 49.21960418171679], [-123.15629290211196, 49.21960293061163]], ""type"": ""LineString""}";49.21960355616421, -123.15632585502469
300;1966-01-01;Cast Iron;"{""coordinates"": [[-123.15451590940683, 49.219597252498836], [-123.15447056302354, 49.21959662950617]], ""type"": ""LineString""}";49.21959694100251, -123.15449323621519
200;1963-01-01;Cast Iron;"{""coordinates"": [[-123.0713740242967, 49.244033547720136], [-123.07134716788747, 49.24489437228789]], ""type"": ""LineString""}";49.24446396000401, -123.07136059609208
150;;Cast Iron;"{""coordinates"": [[-123.1493469438347, 49.2289889418833], [-123.14935147990074, 49.2288670771985]], ""type"": ""LineString""}";49.2289280095409, -123.14934921186773
300;2000-03-10;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.03388590508561, 49.26949564120759], [-123.03388977799811, 49.26949048582513]], ""type"": ""LineString""}";49.269493063516364, -123.03388784154184
300;1931-01-01;Cast Iron;"{""coordinates"": [[-123.14293648911466, 49.27059093856548], [-123.14268301962478, 49.27058735692523]], ""type"": ""LineString""}";49.270589147745355, -123.14280975436972
150;1929-01-01;Cast Iron;"{""coordinates"": [[-123.13641471831349, 49.23242938728279], [-123.13641341463834, 49.23246475816963]], ""type"": ""LineString""}";49.23244707272621, -123.1364140664759
200;2011-03-22;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.13502703104326, 49.230510332208816], [-123.13502760531371, 49.23050433169969]], ""type"": ""LineString""}";49.23050733195426, -123.13502731817849
200;2011-03-22;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.13503723017826, 49.23049794281037], [-123.13502760531371, 49.23050433169969]], ""type"": ""LineString""}";49.23050113725503, -123.13503241774598
200;2011-03-22;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.13503529845252, 49.23046952904466], [-123.13502906480089, 49.23046530855937]], ""type"": ""LineString""}";49.230467418802014, -123.13503218162671
200;2011-03-22;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.13502930753371, 49.23045861580277], [-123.13502906480089, 49.23046530855937]], ""type"": ""LineString""}";49.23046196218107, -123.1350291861673
300;1946-01-01;Cast Iron;"{""coordinates"": [[-123.14517607281239, 49.270626151059446], [-123.14463195840058, 49.270617604357]], ""type"": ""LineString""}";49.27062187770822, -123.14490401560649
150;1939-01-01;Cast Iron;"{""coordinates"": [[-123.13735334776936, 49.227711016825765], [-123.13734935504267, 49.227811579624706]], ""type"": ""LineString""}";49.22776129822523, -123.13735135140601
150;1936-01-01;Cast Iron;"{""coordinates"": [[-123.13720477963918, 49.22783492323027], [-123.13518754949492, 49.227763990142854]], ""type"": ""LineString""}";49.22779945668656, -123.13619616456705
150;1929-01-01;Cast Iron;"{""coordinates"": [[-123.13647661268216, 49.2305994448922], [-123.13647647341178, 49.23060373579532]], ""type"": ""LineString""}";49.23060159034376, -123.13647654304698
150;1949-01-01;Cast Iron;"{""coordinates"": [[-123.12949450519639, 49.22938548557687], [-123.12880372955402, 49.22936104413787]], ""type"": ""LineString""}";49.22937326485738, -123.1291491173752
150;1931-01-01;Cast Iron;"{""coordinates"": [[-123.1372854392674, 49.22965265292062], [-123.13728532454897, 49.22965586436501]], ""type"": ""LineString""}";49.22965425864281, -123.13728538190819
150;1947-01-01;Cast Iron;"{""coordinates"": [[-123.05217597267163, 49.26749022288659], [-123.05217523848985, 49.26753699824846]], ""type"": ""LineString""}";49.267513610567526, -123.05217560558073
300;1946-01-01;Cast Iron;"{""coordinates"": [[-123.14526250169862, 49.27062757161731], [-123.14518982004917, 49.27062637665627]], ""type"": ""LineString""}";49.27062697413679, -123.14522616087389
150;1927-01-01;Cast Iron;"{""coordinates"": [[-123.13799239943583, 49.232481772873804], [-123.13793567402979, 49.23414091644374]], ""type"": ""LineString""}";49.23331134465877, -123.13796403673281
150;2003-01-01;Ductile Iron;"{""coordinates"": [[-123.13632610508682, 49.23407574048021], [-123.13632635988749, 49.23406849900032]], ""type"": ""LineString""}";49.23407211974026, -123.13632623248716
100;1900-01-01;Cast Iron;"{""coordinates"": [[-123.03375376444785, 49.24041660647434], [-123.03373049928418, 49.24040717726244]], ""type"": ""LineString""}";49.24041189186839, -123.033742131866
300;1929-01-01;Cast Iron;"{""coordinates"": [[-123.134840733169, 49.23048359102303], [-123.13480758644461, 49.23048244233449]], ""type"": ""LineString""}";49.23048301667876, -123.13482415980683
1200;;<blank>;"{""coordinates"": [[-123.1173246129214, 49.24113925894414], [-123.11728298085997, 49.24116625995565]], ""type"": ""LineString""}";49.24115275944989, -123.1173037968907
1500;1969-01-01;Steel;"{""coordinates"": [[-123.11723659225053, 49.24113975308688], [-123.11728298085997, 49.24116625995565]], ""type"": ""LineString""}";49.24115300652126, -123.11725978655525
150;;Cast Iron;"{""coordinates"": [[-123.11999087595532, 49.258647333000866], [-123.12002807156094, 49.25773186032164]], ""type"": ""LineString""}";49.25818959666125, -123.12000947375813
300;1938-01-01;Cast Iron;"{""coordinates"": [[-123.12209384195677, 49.27993299409693], [-123.12218539905504, 49.279872359749504]], ""type"": ""LineString""}";49.279902676923214, -123.1221396205059
300;1983-01-01;Ductile Iron;"{""coordinates"": [[-123.11362875037243, 49.27548230184437], [-123.11354265344609, 49.27540718670923], [-123.11352144023375, 49.275389127224756], [-123.11349993874468, 49.275371247923246], [-123.11347790172387, 49.27535363899926], [-123.11345531542366, 49.27533630046598], [-123.11343245480121, 49.27531923205321], [-123.11340904469336, 49.27530234407893], [-123.11338536026331, 49.275285726224666], [-123.11336112655435, 49.27526937876005], [-123.11333648104488, 49.275253301549874], [-123.11331156100708, 49.27523740450738], [-123.11328609189657, 49.27522186780532], [-123.11326034846364, 49.275206601222145], [-123.11323419323003, 49.27519160489239], [-123.11320776367373, 49.2751768786811], [-123.1131807848385, 49.2751624228574], [-123.11315353188617, 49.275148327103345], [-123.11315031117726, 49.275146702128204]], ""type"": ""LineString""}";49.27530322543148, -123.11339737828523
150;1964-01-01;Cast Iron;"{""coordinates"": [[-123.14837787225976, 49.2591118269841], [-123.14837759739329, 49.259111827337094]], ""type"": ""LineString""}";49.259111827160595, -123.14837773482652
150;2012-09-11;Cast Iron;"{""coordinates"": [[-123.05562812549219, 49.27825163591179], [-123.055615751649, 49.278251614882606]], ""type"": ""LineString""}";49.2782516253972, -123.0556219385706
300;1982-01-01;Steel;"{""coordinates"": [[-123.02362643249097, 49.232501217867636], [-123.02363676163003, 49.23250054111072]], ""type"": ""LineString""}";49.23250087948918, -123.0236315970605
200;1909-01-01;Cast Iron;"{""coordinates"": [[-123.12177277863535, 49.27641767320725], [-123.12178288501157, 49.276423851244445]], ""type"": ""LineString""}";49.27642076222585, -123.12177783182348
200;1909-01-01;Cast Iron;"{""coordinates"": [[-123.12178288501157, 49.276423851244445], [-123.12199701972436, 49.27656037018388]], ""type"": ""LineString""}";49.27649211071416, -123.12188995236797
150;1953-01-01;Cast Iron;"{""coordinates"": [[-123.12526048916092, 49.256170682151094], [-123.1246107286004, 49.256160293669055]], ""type"": ""LineString""}";49.25616548791008, -123.12493560888066
200;1956-01-01;Cast Iron;"{""coordinates"": [[-123.08978248041737, 49.27654686786251], [-123.08977009281874, 49.27654661662676]], ""type"": ""LineString""}";49.27654674224463, -123.08977628661805
150;1931-01-01;Cast Iron;"{""coordinates"": [[-123.13731642657034, 49.22875091310472], [-123.13909116937585, 49.228812611238226], [-123.13911658150958, 49.22881348016409], [-123.13914199339159, 49.228814259132065], [-123.1391675421183, 49.22881485802433], [-123.1391929532437, 49.22881536712414], [-123.13921850121334, 49.228815696148196], [-123.1392439113285, 49.22881584542754], [-123.1392694585402, 49.22881590458337], [-123.13929486814983, 49.22881587394685], [-123.13932041460279, 49.228815663234485], [-123.13934582320033, 49.2288152727775], [-123.13937136889366, 49.228814792196914], [-123.13939677673112, 49.22881413187177], [-123.13940032006303, 49.22881402864811]], ""type"": ""LineString""}";49.228786694574715, -123.13835831826655
150;1936-01-01;Cast Iron;"{""coordinates"": [[-123.13518754949492, 49.227763990142854], [-123.13516217909691, 49.22776309331805]], ""type"": ""LineString""}";49.22776354173045, -123.13517486429592
200;;Cast Iron;"{""coordinates"": [[-123.11557191598088, 49.283034339490136], [-123.11556953363815, 49.28303280369774]], ""type"": ""LineString""}";49.28303357159394, -123.11557072480952
200;1931-01-01;Cast Iron;"{""coordinates"": [[-123.07627166669451, 49.24633959356715], [-123.07627445823545, 49.24625192419339]], ""type"": ""LineString""}";49.246295758880265, -123.07627306246498
200;1931-01-01;Cast Iron;"{""coordinates"": [[-123.07627445823545, 49.24625192419339], [-123.07628370232399, 49.24597362359442]], ""type"": ""LineString""}";49.246112773893906, -123.07627908027972
150;1962-01-01;Cast Iron;"{""coordinates"": [[-123.14633471563478, 49.27361417047685], [-123.1463348312986, 49.27361144478708]], ""type"": ""LineString""}";49.27361280763196, -123.14633477346668
150;1974-01-01;Ductile Iron;"{""coordinates"": [[-123.12988755954368, 49.28921712296209], [-123.12904935102613, 49.28868025001799]], ""type"": ""LineString""}";49.288948686490045, -123.1294684552849
150;1974-01-01;Ductile Iron;"{""coordinates"": [[-123.12904935102613, 49.28868025001799], [-123.12900459717706, 49.28865153344212]], ""type"": ""LineString""}";49.288665891730055, -123.12902697410159
150;1931-01-01;Cast Iron;"{""coordinates"": [[-123.03660066914611, 49.248739452181034], [-123.0365967919799, 49.249554232040225]], ""type"": ""LineString""}";49.24914684211063, -123.03659873056301
150;1955-01-01;Cast Iron;"{""coordinates"": [[-123.03075065966095, 49.280155768986035], [-123.03102743135334, 49.280155694999614]], ""type"": ""LineString""}";49.28015573199282, -123.03088904550715
150;1962-01-01;Cast Iron;"{""coordinates"": [[-123.15089018933733, 49.259152496896576], [-123.15075536723428, 49.25915267289299]], ""type"": ""LineString""}";49.25915258489478, -123.15082277828579
150;2011-08-18;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.09712651507911, 49.2784996653542], [-123.09712540596624, 49.27848797254945]], ""type"": ""LineString""}";49.27849381895182, -123.09712596052267
150;1931-01-01;Cast Iron;"{""coordinates"": [[-123.13731657909914, 49.228746478259225], [-123.13731642657034, 49.22875091310472]], ""type"": ""LineString""}";49.22874869568197, -123.13731650283474
150;1931-01-01;Cast Iron;"{""coordinates"": [[-123.13732086856436, 49.2286191272342], [-123.13731747971383, 49.22871957235985]], ""type"": ""LineString""}";49.22866934979702, -123.13731917413911
150;1936-01-01;Cast Iron;"{""coordinates"": [[-123.13958088570509, 49.227918943883445], [-123.13755356476452, 49.22784704783887]], ""type"": ""LineString""}";49.22788299586116, -123.1385672252348
300;1966-01-01;Cast Iron;"{""coordinates"": [[-123.14982820464867, 49.21954954614978], [-123.14964554308642, 49.21954727324646]], ""type"": ""LineString""}";49.21954840969813, -123.14973687386754
150;1929-01-01;Cast Iron;"{""coordinates"": [[-123.08822874820818, 49.2356338417117], [-123.08824542513106, 49.235634053855065]], ""type"": ""LineString""}";49.235633947783384, -123.08823708666964
300;1929-01-01;Cast Iron;"{""coordinates"": [[-123.13745614817365, 49.23057137868809], [-123.13727377797838, 49.23056478613296]], ""type"": ""LineString""}";49.23056808241053, -123.13736496307601
300;1929-01-01;Cast Iron;"{""coordinates"": [[-123.1394529280544, 49.2306402369359], [-123.13810474543445, 49.23059430761756]], ""type"": ""LineString""}";49.23061727227673, -123.13877883674442
150;1925-01-01;Cast Iron;"{""coordinates"": [[-123.17605232942822, 49.261548104407105], [-123.17605039068353, 49.261601961702226]], ""type"": ""LineString""}";49.26157503305467, -123.17605136005588
200;1957-01-01;Cast Iron;"{""coordinates"": [[-123.15500565435522, 49.230887484431896], [-123.15499689083202, 49.23088740623789]], ""type"": ""LineString""}";49.23088744533489, -123.15500127259362
150;;Cast Iron;"{""coordinates"": [[-123.08916037713881, 49.26292515110429], [-123.08915717139205, 49.263075904239734]], ""type"": ""LineString""}";49.26300052767201, -123.08915877426543
150;;Cast Iron;"{""coordinates"": [[-123.08915622100206, 49.26312055717621], [-123.08915199059847, 49.26332053286316]], ""type"": ""LineString""}";49.263220545019685, -123.08915410580026
150;1955-01-01;Cast Iron;"{""coordinates"": [[-123.12373964661465, 49.24237808302029], [-123.12353697213301, 49.24237228210817]], ""type"": ""LineString""}";49.24237518256423, -123.12363830937383
150;1947-01-01;Cast Iron;"{""coordinates"": [[-123.12513631060985, 49.24242638527867], [-123.12670635265808, 49.24248237844877]], ""type"": ""LineString""}";49.242454381863716, -123.12592133163396
600;2011-03-01;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.07961471265776, 49.2800490031289], [-123.07958477540586, 49.280028640675575]], ""type"": ""LineString""}";49.28003882190224, -123.07959974403181
600;2011-03-01;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.07964446646365, 49.280049351427024], [-123.07961471265776, 49.2800490031289]], ""type"": ""LineString""}";49.28004917727796, -123.07962958956071
600;2011-03-01;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.0796950370411, 49.28005000918855], [-123.07968447745807, 49.28004988154328]], ""type"": ""LineString""}";49.28004994536592, -123.07968975724958
300;2011-03-01;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.07955397415763, 49.28006091859841], [-123.0795207477331, 49.280038606439106]], ""type"": ""LineString""}";49.28004976251876, -123.07953736094535
300;2011-03-01;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.07923999014834, 49.280107756355754], [-123.07923976694704, 49.28011433198478]], ""type"": ""LineString""}";49.28011104417027, -123.0792398785477
